195|2013|s|bill|victory|support
237|2013|s|bill|victory|against
284|2013|s|bill|victory|support
238|2013|s|bill|defeat|support
4|2013|s|bill|victory|support
19|2013|s|bill|victory|support
132|2013|s|bill|victory|support
145|2013|s|bill|victory|support
148|2013|s|bill|victory|support
151|2013|s|bill|victory|against
152|2013|s|bill|victory|against
154|2013|s|bill|victory|support
159|2013|s|bill|victory|support
163|2013|s|bill|victory|support
168|2013|s|bill|victory|support
187|2013|s|bill|victory|support
203|2013|s|bill|victory|support
232|2013|s|bill|victory|support
97|2013|s|bill|defeat|support
99|2013|s|bill|defeat|support
101|2013|s|bill|defeat|support
103|2013|s|bill|defeat|support
199|2013|s|bill|defeat|support
26|2013|s|bill|victory|against
44|2013|s|bill|victory|support
113|2013|s|bill|victory|support
185|2013|s|bill|victory|support
209|2013|s|bill|victory|support
210|2013|s|bill|victory|support
211|2013|s|bill|victory|support
219|2013|s|bill|victory|support
220|2013|s|bill|victory|against
281|2013|s|bill|victory|support
27|2013|s|bill|defeat|support
143|2013|s|bill|defeat|support
171|2013|s|bill|defeat|support
216|2013|s|bill|defeat|support
5|2013|s|nomination|victory|support
20|2013|s|nomination|victory|support
22|2013|s|nomination|victory|support
24|2013|s|nomination|victory|support
25|2013|s|nomination|victory|support
28|2013|s|nomination|victory|support
32|2013|s|nomination|victory|support
33|2013|s|nomination|victory|support
93|2013|s|nomination|victory|support
94|2013|s|nomination|victory|support
96|2013|s|nomination|victory|support
106|2013|s|nomination|victory|support
108|2013|s|nomination|victory|support
109|2013|s|nomination|victory|support
114|2013|s|nomination|victory|support
118|2013|s|nomination|victory|support
125|2013|s|nomination|victory|support
126|2013|s|nomination|victory|support
127|2013|s|nomination|victory|support
128|2013|s|nomination|victory|support
136|2013|s|nomination|victory|support
149|2013|s|nomination|victory|support
150|2013|s|nomination|victory|support
158|2013|s|nomination|victory|support
161|2013|s|nomination|victory|support
165|2013|s|nomination|victory|support
169|2013|s|nomination|victory|support
170|2013|s|nomination|victory|support
174|2013|s|nomination|victory|support
176|2013|s|nomination|victory|support
178|2013|s|nomination|victory|support
180|2013|s|nomination|victory|support
186|2013|s|nomination|victory|support
188|2013|s|nomination|victory|support
190|2013|s|nomination|victory|support
192|2013|s|nomination|victory|support
194|2013|s|nomination|victory|support
197|2013|s|nomination|victory|support
198|2013|s|nomination|victory|support
200|2013|s|nomination|victory|support
201|2013|s|nomination|victory|support
202|2013|s|nomination|victory|support
204|2013|s|nomination|victory|support
213|2013|s|nomination|victory|support
217|2013|s|nomination|victory|support
222|2013|s|nomination|victory|support
223|2013|s|nomination|victory|support
225|2013|s|nomination|victory|support
228|2013|s|nomination|victory|support
247|2013|s|nomination|victory|support
252|2013|s|nomination|victory|support
256|2013|s|nomination|victory|support
258|2013|s|nomination|victory|support
260|2013|s|nomination|victory|support
262|2013|s|nomination|victory|support
264|2013|s|nomination|victory|support
266|2013|s|nomination|victory|support
268|2013|s|nomination|victory|support
270|2013|s|nomination|victory|support
272|2013|s|nomination|victory|support
274|2013|s|nomination|victory|support
276|2013|s|nomination|victory|support
286|2013|s|nomination|victory|support
288|2013|s|nomination|victory|support
290|2013|s|nomination|victory|support
21|2013|s|nomination|defeat|support
30|2013|s|nomination|defeat|support
226|2013|s|nomination|defeat|support
227|2013|s|nomination|defeat|support
233|2013|s|nomination|defeat|support
235|2013|s|nomination|defeat|support
