206|2012|s|bill|victory|support
212|2012|s|bill|defeat|against
219|2012|s|bill|defeat|support
221|2012|s|bill|defeat|against
14|2012|s|bill|victory|support
24|2012|s|bill|victory|support
30|2012|s|bill|victory|against
34|2012|s|bill|victory|against
48|2012|s|bill|victory|support
56|2012|s|bill|victory|support
68|2012|s|bill|victory|against
87|2012|s|bill|victory|support
111|2012|s|bill|victory|support
112|2012|s|bill|victory|against
139|2012|s|bill|victory|against
164|2012|s|bill|victory|support
168|2012|s|bill|victory|support
236|2012|s|bill|victory|support
248|2012|s|bill|victory|support
89|2012|s|bill|defeat|support
113|2012|s|bill|defeat|support
115|2012|s|bill|defeat|support
180|2012|s|bill|defeat|support
187|2012|s|bill|defeat|support
193|2012|s|bill|defeat|support
204|2012|s|bill|defeat|support
2|2012|s|bill|victory|against
22|2012|s|bill|victory|support
55|2012|s|bill|victory|support
96|2012|s|bill|victory|support
184|2012|s|bill|victory|support
199|2012|s|bill|victory|support
223|2012|s|bill|victory|support
251|2012|s|bill|victory|support
63|2012|s|bill|defeat|support
65|2012|s|bill|defeat|support
177|2012|s|bill|defeat|support
181|2012|s|bill|defeat|support
227|2012|s|bill|defeat|support
1|2012|s|nomination|victory|support
16|2012|s|nomination|victory|support
19|2012|s|nomination|victory|support
21|2012|s|nomination|victory|support
23|2012|s|nomination|victory|support
26|2012|s|nomination|victory|support
27|2012|s|nomination|victory|support
49|2012|s|nomination|victory|support
50|2012|s|nomination|victory|support
57|2012|s|nomination|victory|support
58|2012|s|nomination|victory|support
61|2012|s|nomination|victory|support
62|2012|s|nomination|victory|support
64|2012|s|nomination|victory|support
67|2012|s|nomination|victory|support
83|2012|s|nomination|victory|support
88|2012|s|nomination|victory|support
90|2012|s|nomination|victory|support
102|2012|s|nomination|victory|support
103|2012|s|nomination|victory|support
104|2012|s|nomination|victory|support
114|2012|s|nomination|victory|support
116|2012|s|nomination|victory|support
118|2012|s|nomination|victory|support
121|2012|s|nomination|victory|support
122|2012|s|nomination|victory|support
167|2012|s|nomination|victory|support
173|2012|s|nomination|victory|support
178|2012|s|nomination|victory|support
182|2012|s|nomination|victory|support
189|2012|s|nomination|victory|support
190|2012|s|nomination|victory|support
217|2012|s|nomination|victory|support
222|2012|s|nomination|victory|support
224|2012|s|nomination|victory|support
226|2012|s|nomination|victory|support
228|2012|s|nomination|victory|support
249|2012|s|nomination|victory|support
250|2012|s|nomination|victory|support
186|2012|s|nomination|defeat|support
